val_mse,val_mae,lr,epoch,step,test_mse,test_mae
0.9624842405319214,0.6946470737457275,0.001000000978820026,0,527,,
1.008999228477478,0.711108386516571,0.001000000978820026,1,1055,,
0.9826816320419312,0.6968502998352051,0.001000000978820026,2,1583,,
0.9962781071662903,0.6998986601829529,0.000500000489410013,3,2111,,
0.9793219566345215,0.7021788358688354,0.000500000489410013,4,2639,,
1.0017213821411133,0.7041093111038208,0.0002500002447050065,5,3167,,
0.9973573088645935,0.6979367136955261,0.0002500002447050065,6,3695,,
1.0004942417144775,0.7005374431610107,0.00012500012235250324,7,4223,,
0.9932601451873779,0.700801432132721,0.00012500012235250324,8,4751,,
1.0032930374145508,0.7012436985969543,6.250006117625162e-05,9,5279,,
1.0152678489685059,0.703413724899292,6.250006117625162e-05,10,5807,,
,,,11,5808,0.652951717376709,0.5930370688438416
