val_mse,val_mae,lr,epoch,step,test_mse,test_mae
0.9273070096969604,0.676476776599884,0.001000000978820026,0,527,,
0.976227343082428,0.6943708062171936,0.001000000978820026,1,1055,,
0.9738088250160217,0.6897854208946228,0.001000000978820026,2,1583,,
0.9754709005355835,0.6883870363235474,0.000500000489410013,3,2111,,
0.9877541065216064,0.7006670832633972,0.000500000489410013,4,2639,,
1.0053834915161133,0.6985298991203308,0.0002500002447050065,5,3167,,
1.0030763149261475,0.6966777443885803,0.0002500002447050065,6,3695,,
1.0089373588562012,0.6998927593231201,0.00012500012235250324,7,4223,,
1.0119589567184448,0.7013965249061584,0.00012500012235250324,8,4751,,
1.0179334878921509,0.7014923095703125,6.250006117625162e-05,9,5279,,
1.024286150932312,0.7031325697898865,6.250006117625162e-05,10,5807,,
,,,11,5808,0.6506906151771545,0.5828992128372192
