val_mse,val_mae,lr,epoch,step,test_mse,test_mae
0.9562053084373474,0.6820248365402222,0.001000000978820026,0,527,,
1.0284031629562378,0.6989856362342834,0.001000000978820026,1,1055,,
0.9915631413459778,0.6898192167282104,0.001000000978820026,2,1583,,
0.9910873770713806,0.6868627667427063,0.000500000489410013,3,2111,,
1.020897388458252,0.7050575017929077,0.000500000489410013,4,2639,,
1.0083210468292236,0.6929662823677063,0.0002500002447050065,5,3167,,
0.9936830401420593,0.6891542077064514,0.0002500002447050065,6,3695,,
1.0131038427352905,0.6960917711257935,0.00012500012235250324,7,4223,,
1.0094599723815918,0.695396900177002,0.00012500012235250324,8,4751,,
1.010175347328186,0.6948011517524719,6.250006117625162e-05,9,5279,,
1.0102076530456543,0.6944268941879272,6.250006117625162e-05,10,5807,,
,,,11,5808,0.6654002666473389,0.5842069387435913
