val_mse,val_mae,lr,epoch,step,test_mse,test_mae
0.9104363322257996,0.6657229661941528,0.001000000978820026,0,527,,
0.9456772208213806,0.6799878478050232,0.001000000978820026,1,1055,,
0.9627974033355713,0.6775498986244202,0.001000000978820026,2,1583,,
0.9579352140426636,0.6780687570571899,0.000500000489410013,3,2111,,
0.9719791412353516,0.6887101531028748,0.000500000489410013,4,2639,,
0.9810482859611511,0.6845368146896362,0.0002500002447050065,5,3167,,
0.975947916507721,0.6814677715301514,0.0002500002447050065,6,3695,,
0.9888359904289246,0.6858739256858826,0.00012500012235250324,7,4223,,
0.9881435036659241,0.6862935423851013,0.00012500012235250324,8,4751,,
0.9907686710357666,0.6838014721870422,6.250006117625162e-05,9,5279,,
0.9946966767311096,0.6854191422462463,6.250006117625162e-05,10,5807,,
,,,11,5808,0.6456041932106018,0.5792344808578491
