val_mse,val_mae,lr,epoch,step,test_mse,test_mae
0.950006365776062,0.6670408248901367,0.001000000978820026,0,527,,
0.96747225522995,0.6824596524238586,0.001000000978820026,1,1055,,
0.9912352561950684,0.6849720478057861,0.001000000978820026,2,1583,,
0.9740559458732605,0.6747354865074158,0.000500000489410013,3,2111,,
0.9903491735458374,0.691486656665802,0.000500000489410013,4,2639,,
0.9919144511222839,0.6840693950653076,0.0002500002447050065,5,3167,,
0.9829015135765076,0.6803802847862244,0.0002500002447050065,6,3695,,
0.9922733306884766,0.6844438910484314,0.00012500012235250324,7,4223,,
0.9955827593803406,0.6861565113067627,0.00012500012235250324,8,4751,,
0.9960665106773376,0.6846897006034851,6.250006117625162e-05,9,5279,,
1.00077223777771,0.6867335438728333,6.250006117625162e-05,10,5807,,
,,,11,5808,0.6680006980895996,0.5856229662895203
